Normalized Science,Normalized Reading,Normalized Math,Normalized Average Performance,Average Performance,Year,Math,Reading,Science,Country,Shortage of educational staff,Shortage of educational material
0.187001435,0.330218274,0.224034812,0.244961629,400.0211275,2018,383.5691241,412.8733165,403.6209419,BRA,-0.136893478,0.061823007
0.628840182,0.732267396,0.660354673,0.677140927,471.8520149,2018,464.2042728,478.9891523,472.3626195,HRV,0.038851111,0.774755
0.138467924,0.075376925,0.197515353,0.135940806,381.9011886,2018,378.6681313,370.9653808,396.0700537,IDN,0.369735207,0.721470414
0.261247619,0.379986582,0.473172093,0.376882013,421.9471158,2018,429.6115428,421.0575734,415.1722314,MNE,-0.773870492,0.431868852
0.286667983,0.295060936,0.389935042,0.32595395,413.482555,2018,414.2287179,407.0917923,419.1271549,QAT,-0.585909043,-1.011301064
0.329308639,0.42039818,0.474823998,0.4120589,427.7937334,2018,429.916827,427.7031458,425.7612272,ROU,-0.40032426,0.37294497
0.329644299,0.208691844,0.413347432,0.319556128,412.4191972,2018,418.5555015,392.8886405,425.8134495,THA,0.085457586,0.380837931
0.329639331,0.416837597,0.408510591,0.386409463,423.5306373,2018,417.6616173,427.1176182,425.8126766,URY,0.431744974,0.159410582
0.009259901,0.058692776,0.088031801,0.049543444,367.5414097,2022,358.4347582,368.2217199,375.9677509,ALB,-0.543904044,0.577677206
0.298662157,0.357160569,0.336230606,0.330272268,414.2002864,2022,404.3037395,417.3039004,420.9932194,BGR,-0.793286364,-0.572567045
0.27123616,0.478282095,0.342321415,0.363918735,419.7925384,2018,405.4293663,437.2219913,416.7262577,ALB,-0.621542105,0.398416718
0.154071438,0.290759346,0.329056011,0.260597846,402.619964,2018,402.9778213,406.3844079,398.4976628,BIH,-0.719126291,0.824023005
0.318461266,0.471097902,0.42031958,0.405193855,426.65272,2018,419.8440061,436.0405711,424.0735829,BGR,-0.98867037,-0.399107407
0.346817467,0.377228404,0.442769758,0.3914039,424.3607438,2018,423.9929657,420.6039989,428.4852667,MDA,-0.044357527,0.357231183
0.247572692,0.218167164,0.273267929,0.245153941,400.053091,2018,392.6677695,394.4468299,413.0446737,MKD,-0.641463529,0.440437647
0.420018108,0.545544219,0.526496784,0.500788206,442.5410958,2018,439.4663414,448.2830563,439.8738896,SRB,-0.755628649,0.296104865
0,0.016164272,0,0,359.3069811,2022,342.1658281,361.2280283,374.527087,JOR,0.877398077,0.598816923
0.31262805,0.406630737,0.238729157,0.314807672,411.6299743,2022,386.2847482,425.439129,423.1660458,KAZ,-0.215811559,-0.007135902
0.351746137,0.25048806,0.416097102,0.341256183,416.0258813,2018,419.0636608,399.7619093,429.2520738,JOR,0.730797049,0.634808852
0.145119006,0.392687073,0.242108493,0.259194671,402.3867476,2018,386.9092746,423.146133,397.1048352,KAZ,-0.434274513,0.147395942
0.663259959,0.785764135,0.737719863,0.734198776,481.3353844,2018,478.5019341,487.7865391,477.71768,RUS,0.056082186,0.401795951
